username,video_id,comment,clean_comment,label
,,Pertimbangkan untuk menjelajahi 𝘈𝐺𝐔𝐒T𝘖T𝙊-jika Anda menghargai pertumbuhan pribadi.,pertimbangkan untuk menjelajahi agustoto-jika anda menghargai pertumbuhan pribadi,1
@thenose1734,,gem apa ini bang,@thenose1734 gem apa ini bang,0
,,jadi sepi kaga ada xxgeng, jadi sepi kaga ada xxgeng,0
,,Pertimbangkan untuk menjelajahi 𝐀𝐆𝐔S𝙏O𝘛𝙊jika Anda menghargai komunitas dan rasa memiliki., pertimbangkan untuk menjelajahi agustotojika anda menghargai komunitas dan rasa memiliki,1
,,emang bener gaada situs yang kaya Manut88 cok,emang bener gaada situs yang kaya manut88 cok,1
,,"SORJP88 tuh emang hoki! Menang terus, gak pernah kecewa main disini!",sorjp88 tuh emang hoki  menang terus  gak pernah kecewa main disini,1
,,Boti?, boti,0
,,arrkkrkrkrkrkrkrkkekr sirrrrrr aing nunggguin, arrkkrkrkrkrkrkrkkekr sirrrrrr aing nunggguin,0
@HuuTienLe-g2t,lvb0_bGZDTU,Salut! Detail kecil 𝙋𝙧𝙤𝙗𝙚𝙩8️⃣5️⃣5️⃣ dipikirin banget. Respect! 👏,@HuuTienLe-g2t salut  detail kecil probet8  5  5   dipikirin banget  respect,1
,,"𝘿E𝘞A𝐃𝐎RАmemang yang terbaik, sangat direkomendasikan!",dewadoramemang yang terbaik  sangat direkomendasikan,1
,,𝘈𝘌ЯО88menawarkan pengalaman daring yang halus dan dipoles., aeяo88menawarkan pengalaman daring yang halus dan dipoles,1
@numpangmakan27,,ada paps J di layar kita,@numpangmakan27 ada paps j di layar kita,0
@SydneyFinzi,atYGhviVhf8,"Yang bikin makin penasaran, video reels bertema 🅿️︎🆄🅻🅰️︎🆄🆆︎🅸︎🅽︎ malah makin banyak.",@SydneyFinzi yang bikin makin penasaran  video reels bertema p  ula  uw i n  malah makin banyak,1
@kodokisme,SAAVZtoQTH4,Sakit gegara MBG ya bang :v,@kodokisme sakit gegara mbg ya bang  v,0
,,А𝐸𝑅O88 emang cuan abis, aero88 emang cuan abis,1
,,"A𝐺𝑈𝘚𝐓𝘖T𝙊 gua maen bentar, saldo lngsg naik gede",agustoto gua maen bentar  saldo lngsg naik gede,1
,,"<a href=""https://www.youtube.com/watch?v=3WvTEDfQWxY&amp;t=1407"">23:27</a> akhirnya gue untung juga main di BERKAH 99", akhirnya gue untung juga main di berkah 99,1
,,Wkwkwk ngakak gila😂,wkwkwk ngakak gila,0
,,Cuan di 𝘼𝐺𝑈𝐒T𝙊𝑇О gampang!,cuan di agustoto gampang,1
,,Gak nyangka bisa menang segini di 𝘿O𝐑A7𝟩! Auto senyum lebar!,gak nyangka bisa menang segini di dora77  auto senyum lebar,1
,,DО𝘙𝐀𝟩𝟽 menawarkan kesempatan untuk belajar dari orang lain. 😝 🤑, dora77 menawarkan kesempatan untuk belajar dari orang lain,1
,,Rizky rizky,rizky rizky,0
,,Mbak oma sdh tua mau 63thn ..skr oma bs dgr suara gaib dtng ..pusing jg mbak 😢😢😢, mbak oma sdh tua mau 63thn   skr oma bs dgr suara gaib dtng   pusing jg mbak,0
@QuangPhongHoang-w8w,QhmebdBeXKY,selalu bikin aku balik lagi dan lagi! 🔁𝐓𝐈𝐌𝐎𝟒𝐃,@QuangPhongHoang-w8w selalu bikin aku balik lagi dan lagi   timo4d,1
,,"Sungguh edan! JP yang sangat fantastis dan luar biasa besar di 𝘈G𝐔𝘚𝐓О𝑇O, kembali memecahkan rekor yang ada!", sungguh edan  jp yang sangat fantastis dan luar biasa besar di agustoto  kembali memecahkan rekor yang ada,1
,,"Main di 𝐀Е𝙍𝙊𝟾𝟾-seru banget, langsung dapat rezeki nggak terduga!",main di aero88-seru banget  langsung dapat rezeki nggak terduga,1
,,"𝐀E𝐑О88emang top notch, highly recommended buat semua kalangan!",aero88emang top notch  highly recommended buat semua kalangan,1
,,"𝘈𝙂U𝙎𝑇𝑂T𝙊 jackpot gampang, gk ribet sama sekali", agustoto jackpot gampang  gk ribet sama sekali,1
@vidileonard3365,,"𝒏𝒈𝒂𝒔𝒊𝒉 𝒋𝒖𝒈𝒂 𝒈𝒑𝒑, 𝒂𝒏𝒈𝒑𝒂𝒐 𝒌𝒂𝒏 𝒔𝒊𝒎𝒃𝒐𝒍 𝒌𝒆𝒔𝒖𝒌𝒔𝒆𝒔𝒂𝒏. 𝑴𝒔𝒌𝒑𝒏 𝒋𝒐𝒎𝒃𝒍𝒐 𝒌𝒂𝒍𝒐 𝒖𝒅𝒂𝒉 𝒔𝒖𝒌𝒔𝒆𝒔 𝒃𝒐𝒍𝒆𝒉 𝒌𝒐𝒌 𝒃𝒆𝒓𝒃𝒂𝒈𝒊 𝒂𝒏𝒈𝒑𝒂𝒐. 𝑩𝒆𝒅𝒂 𝒔𝒂𝒎𝒂 𝒋𝒂𝒎𝒂𝒏 𝒅𝒖𝒍𝒖 𝒚𝒈 𝒏𝒈𝒂𝒔𝒊𝒉 𝒐𝒓𝒂𝒏𝒈 𝒕𝒖𝒂 𝒅𝒂𝒏  𝒃𝒖𝒂𝒕 𝒂𝒏𝒂𝒌2 𝒂𝒋𝒂 𝒃𝒆𝒓𝒖𝒑𝒂 𝒑𝒆𝒓𝒎𝒆𝒏 𝒅𝒂𝒏 𝒖𝒂𝒏𝒈 𝒌𝒐𝒊𝒏 𝒚𝒈 𝒅𝒊𝒊𝒌𝒂𝒕 𝒕𝒂𝒍𝒊 𝒎𝒆𝒓𝒂𝒉",@vidileonard3365 ngasih juga gpp  angpao kan simbol kesuksesan  mskpn jomblo kalo udah sukses boleh kok berbagi angpao  beda sama jaman dulu yg ngasih orang tua dan  buat anak2 aja berupa permen dan uang koin yg diikat tali merah,0
@MortenGP_12,SAAVZtoQTH4,"Asli sih ketoprak ciragil enak, gw yang dulunya gadoyan ketoprak jadi doyan",@MortenGP_12 asli sih ketoprak ciragil enak  gw yang dulunya gadoyan ketoprak jadi doyan,0
,,"𝘈G𝐔𝘚𝐓О𝑇O gua cba, saldo langsung naik banyak", agustoto gua cba  saldo langsung naik banyak,1
@Yantel__,,Skuuuyyy🤙🏼,@Yantel__ skuuuyyy,0
@MannixBudoff,atYGhviVhf8,"Ada mural keren di tembok kampus, tulisannya ✧𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉✧.",@MannixBudoff ada mural keren di tembok kampus  tulisannya  pulauwin,1
@_harissetiawan_,QhmebdBeXKY,Tapi temenku yg ikut ngegym emang kuntet gk tinggi😂,@_harissetiawan_ tapi temenku yg ikut ngegym emang kuntet gk tinggi,0
,,komen² judol kipakkkkkk gausah spam gabakal ada yang depo, komen2 judol kipakkkkkk gausah spam gabakal ada yang depo,0
,,Apa sii ambil4ad... Komen ny pd ky gtu,apa sii ambil4ad    komen ny pd ky gtu,1
,,bisa buat pegal pegal dong,bisa buat pegal pegal dong,0
@loKnghứaminh,atYGhviVhf8,Vlognya bikin pengen ikutan! 💕𝐌𝐎𝐍𝐀𝟒𝐃🟣 bikin tempatnya kelihatan seru!,@loKnghứaminh vlognya bikin pengen ikutan   mona4d  bikin tempatnya kelihatan seru,1
@SahudiAhmad68Ahmad,QhmebdBeXKY,Mas bob brti tinggi tubuhnya sama kaya aderai yah.,@SahudiAhmad68Ahmad mas bob brti tinggi tubuhnya sama kaya aderai yah,0
@MERRILLKasper,,𝔾𝔸 ℝ𝕌 𝔻𝔸 ℍ𝕆 𝕂𝕀menang lebih mudah🦅,@MERRILLKasper ga ru da ho kimenang lebih mudah,1
,,Jot yuka gk ada sepi anjir,jot yuka gk ada sepi anjir,0
@ozinza782,,kangennn,@ozinza782 kangennn,0
,,Keep humble king,keep humble king,0
,,Hitman ajg si detektif per peran ini wkwkwk ngeri juga, hitman ajg si detektif per peran ini wkwkwk ngeri juga,0
,,Nanem padi seru tuh,nanem padi seru tuh,0
,,Inpo nama game cuy, inpo nama game cuy,0
,,Ibu kota Indonesia...??,ibu kota indonesia,0
@Rosalesrahman-m6i,,Buat yang suka lotre online ini wajib dicoba! Seru banget hadiahnya juga oke punya. Ayo coba deh! 🎉💸,@Rosalesrahman-m6i buat yang suka lotre online ini wajib dicoba  seru banget hadiahnya juga oke punya  ayo coba deh,1
,,"Joke bapak2, udah siap nikah nih",joke bapak2  udah siap nikah nih,0
@ryuuki-e3b,,bang nama game pokemon nya apa,@ryuuki-e3b bang nama game pokemon nya apa,0
@MchaneyHeully-n6d,,"Keberuntungan saya bener-bener gacir di 𝐀𝐺𝘜S𝑇𝑂𝙏O, nggak nyangka!",@MchaneyHeully-n6d keberuntungan saya bener-bener gacir di agustoto  nggak nyangka,1
,,Women,women,0
@RivalPhew,,1,@RivalPhew 1,0
,,"maen di 𝘈𝘌ЯO𝟾8, langsung menang", maen di aeяo88  langsung menang,1
@szabolcsdelta-o7j,,"𝘈G𝐔𝘚𝐓О𝑇O gua main bentar, saldo lngsg naik gede",@szabolcsdelta-o7j agustoto gua main bentar  saldo lngsg naik gede,1
@PhuongHoaLy-k2p,_qZaQs__2yQ,"01:16 Gak nyangka sekeren ini, (っ◔◡◔)っ ♥ Probet855 ♥ penuh hikmah! 💯",@PhuongHoaLy-k2p gak nyangka sekeren ini   っ    っ   probet855   penuh hikmah,1
,,Raymond blm butuh istri 😁😁 masih muda, raymond blm butuh istri    masih muda,0
@mridhomubarak5,lvb0_bGZDTU,Main ten candles sama kristo bangggg,@mridhomubarak5 main ten candles sama kristo bangggg,0
,,BILLIARD Grace 🎉🎉,billiard grace,0
,,"𝐀𝐆𝐔S𝙏O𝘛𝙊 cuma maen bentar, udah bisa WEDEY gede", agustoto cuma maen bentar  udah bisa wedey gede,1
,,"𝘈𝐆𝘜𝙎𝙏𝐎𝐓𝙊 gacor, menang terus!",agustoto gacor  menang terus,1
,,Temukan potensi АGU𝘚𝙏𝐎𝘛𝐎., temukan potensi agustoto,1
@FauzyZain,,kekknya dari 10 tahun lalu deh... soalnya dlu ada selebaran di warung makan (Makassar) Detektif Perselingkuhan,@FauzyZain kekknya dari 10 tahun lalu deh    soalnya dlu ada selebaran di warung makan  makassar  detektif perselingkuhan,0
,,Cihuy😂, cihuy,0
,,Mereka live di aplikasi apa?,mereka live di aplikasi apa,0
,,𝘈𝘎𝑈𝑆𝑇𝙊T𝐎sedang mendapatkan perhatian belakangan ini. Lihat apa yang ditawarkannya.,agustotosedang mendapatkan perhatian belakangan ini  lihat apa yang ditawarkannya,1
,,"udah king, lu orang ga cocok main jj gini",udah king  lu orang ga cocok main jj gini,0
,,pasti kecap asia harum sedap ya ger,pasti kecap asia harum sedap ya ger,0
,,"Tidak menyangka bisa mendapatkan sebanyak ini dari 𝐀𝙂𝑈𝘚𝙏𝐎𝐓𝙊,langsung mentraktir teman-teman!",tidak menyangka bisa mendapatkan sebanyak ini dari agustoto langsung mentraktir teman-teman,1
@_erpan_,,Lah orang no buy challange karena trend<br>Gwe no buy challange karena emang ga ada duit <br><br>Kita tidak sama 🤫,@_erpan_ lah orang no buy challange karena trendgwe no buy challange karena emang ga ada duit kita tidak sama,0
@QuocDuongQuyen-t2w,_qZaQs__2yQ,"ᑭᖇOᗷET❽❺❺ bikin vibes positif, gak ngebosenin! 😍",@QuocDuongQuyen-t2w probet855 bikin vibes positif  gak ngebosenin,1
,,baik banget adminnya ramah dan kasih jpsemoga 🔥 PANJANG4D 🔥 jaya selalu,baik banget adminnya ramah dan kasih jpsemoga   panjang4d   jaya selalu,1
,,Sokapp nichhhh, sokapp nichhhh,0
@Enra000,,💀💀💀💀,@Enra000,0
@patilkheroub-p3y,,"Jakpot besar bikin aku makin cinta sama 𝘈𝐺𝘜𝐒𝘛𝑂𝐓𝐎, makasih banget!",@patilkheroub-p3y jakpot besar bikin aku makin cinta sama agustoto  makasih banget,1
,,Auto jepe tiap main di А𝐸𝑅O88, auto jepe tiap main di aero88,1
,,"Bikin penasaran banget, dapet jakpot besar cuma dalam sekali coba di 𝘼𝙀𝘙𝑂88! 😔 😞", bikin penasaran banget  dapet jakpot besar cuma dalam sekali coba di aero88,1
,,Main sebentar aja langsung dapet rezeki besar keren banget ambil4d!,main sebentar aja langsung dapet rezeki besar keren banget ambil4d,1
@dainaapft7489,SAAVZtoQTH4,"Kebalik itu celananya, harusnya didepan buayanya wkwk",@dainaapft7489 kebalik itu celananya  harusnya didepan buayanya wkwk,0
,,"Depo kecil, cuan besar di 𝘼𝙂𝙐𝐒𝑇𝘖𝘛O",depo kecil  cuan besar di agustoto,1
,,Fresh from rinjing 😂,fresh from rinjing,0
,,А𝐆𝐔𝘚𝐓О𝘛𝑂menawarkan pendekatan yang berpusat pada pengguna untuk interaksi daring., agustotomenawarkan pendekatan yang berpusat pada pengguna untuk interaksi daring,1
,,"Coba deh main di SORJP88, hoki-nya bener-bener dapet terus!",coba deh main di sorjp88  hoki-nya bener-bener dapet terus,1
,,Ehh kok wkwkwk, ehh kok wkwkwk,0
,,"Rezeki nomplok hari ini datang dari 𝐴ER𝘖𝟖𝟴,terima kasih banyak!",rezeki nomplok hari ini datang dari aero88 terima kasih banyak,1
@AlmeidaJirby-y2o,,"Kapan lagi main di situs segacir 𝐀GUS𝐓O𝘛𝘖, asli nagih sih",@AlmeidaJirby-y2o kapan lagi main di situs segacir agustoto  asli nagih sih,1
,,Jot ngajar apa di kumon brok?,jot ngajar apa di kumon brok,0
,,"A𝐺𝑈𝙎𝐓𝐎TOmemang yang terbaik, sangat direkomendasikan!",agustotomemang yang terbaik  sangat direkomendasikan,1
@IrvingAruby-l5o,,"Rezeki hari ini datang dari 𝐀𝐆𝐔S𝙏O𝘛𝙊,makasih atas keberuntungannya!",@IrvingAruby-l5o rezeki hari ini datang dari agustoto makasih atas keberuntungannya,1
,,✦𝗠𝗮𝗻𝘂𝘁𝟴𝟴✦benar benar membuat ku kaget jeepenya melimpah, manut88 benar benar membuat ku kaget jeepenya melimpah,1
,,"JP datang silih berganti di 𝘈𝙂𝙐𝘚TO𝙏𝙊,lagi hoki tingkat dewa nih!",jp datang silih berganti di agustoto lagi hoki tingkat dewa nih,1
@ApeterApreet-r2r,,Beberapa pengguna melaporkan hasil positif dari penggunaan 𝘈Е𝙍𝘖88. 😚 😙,@ApeterApreet-r2r beberapa pengguna melaporkan hasil positif dari penggunaan aero88,1
,,Nyapu itu kayang,nyapu itu kayang,0
,,"Request nih , sekolah horor dong nes", request nih   sekolah horor dong nes,0
@Dwi-d6u,,Frank suka nge prank,@Dwi-d6u frank suka nge prank,0
,,Jakpot besar di 𝘈E𝙍О88-bikin hari semakin cerah. Siapa cepat dia dapat!,jakpot besar di aero88-bikin hari semakin cerah  siapa cepat dia dapat,1
,,"Gacor banget SORJP88, jackpot gampang didapetin! Main terus, pasti menang!",gacor banget sorjp88  jackpot gampang didapetin  main terus  pasti menang,1
,,🥂🥂🥂SAYA SUDAH MENCOBANYA SENDIRI DI 𝐁𝐈𝐑𝟏𝟐𝟑🥂🥂🥂,saya sudah mencobanya sendiri di bir123,1
,,Kayak oknum yang di gedung nih 🤣,kayak oknum yang di gedung nih,0
@JavierCampos-b9f,,"𝐀𝘌𝑅О88, auto jepey!",@JavierCampos-b9f aero88  auto jepey,1
@whathappen3765,,Itu bola mata bisa di keluarin. Biasanua yg make orng yg ga punya bola mata,@whathappen3765 itu bola mata bisa di keluarin  biasanua yg make orng yg ga punya bola mata,0
,,"Catch Me if You Can yg diperanin sama Leonardo Dicaprio nih,seru film-nya 🙃", catch me if you can yg diperanin sama leonardo dicaprio nih seru film-nya,0
,,"Hari ini dapat rezeki besar dari 𝘈𝙂U𝙎𝑇𝑂T𝙊, senang banget rasanya!", hari ini dapat rezeki besar dari agustoto  senang banget rasanya,1
@daniepastrana1367,,Njirr seru ketemu lawan kang triksot nih agri 😅,@daniepastrana1367 njirr seru ketemu lawan kang triksot nih agri,0
,,MODAL KECIL CUAN BESAR !!🔥💥 Togel62,modal kecil cuan besar      togel62,1
,,JOHAN MALIK jot,johan malik jot,0
,,"gachor pol di А𝐸𝑅O88, auto jepey", gachor pol di aero88  auto jepey,1
,,"𝐀𝐆𝐔S𝙏O𝘛𝙊 aku cba bentar, saldo lngsg gmpang nambah", agustoto aku cba bentar  saldo lngsg gmpang nambah,1
@Ansyah2077,,Kak bahas arie hanggara,@Ansyah2077 kak bahas arie hanggara,1
@HaiNamLy-d9g,IzbN42Yi8cE,"Relate banget ceritanya, 👉 𝙿𝚛𝚘𝚋𝚎𝚝𝟾𝟻𝟻 👈 mantap jiwa! 💯",@HaiNamLy-d9g relate banget ceritanya    probet855   mantap jiwa,1
@nhungđàokhánh44,lvb0_bGZDTU,Kualitas videonya top! 💕𝐌𝐎𝐍𝐀𝟒𝐃🟣 bikin setiap detil kelihatan hidup!,@nhungđàokhánh44 kualitas videonya top   mona4d  bikin setiap detil kelihatan hidup,1
,,"𝘈𝙂U𝙎𝑇𝑂T𝙊 tiap maen pasti jackpot, gue gk ngerti lagi", agustoto tiap maen pasti jackpot  gue gk ngerti lagi,1
@ristantoJkeefer-u8u,,petir kakek lagi ngamuk di situs  𝐀 𝐌 𝐁 𝐈 𝐋 𝟒 𝐃  mang lagi rame perkalian disitu,@ristantoJkeefer-u8u petir kakek lagi ngamuk di situs  a m b i l 4 d  mang lagi rame perkalian disitu,1
,,Kangen sir, kangen sir,0
@YadavJperez-s9f,,"Ga ngerti lagi, depo 100 ribu jadi 10 juta. А𝐸𝑅O88 emang beda",@YadavJperez-s9f ga ngerti lagi  depo 100 ribu jadi 10 juta  aero88 emang beda,1
,,"Main di D𝐸𝙒𝘈𝐷𝑂𝐑А-bikin kantong tebal, rezeki melimpah ruah!",main di dewadora-bikin kantong tebal  rezeki melimpah ruah,1
@Mkearnshandsome-d4x,,Main sebentar aja langsung dapet rezeki besar keren banget ambil4d!,@Mkearnshandsome-d4x main sebentar aja langsung dapet rezeki besar keren banget ambil4d,1
@Sviệthữu,lvb0_bGZDTU,Kontennya selalu bikin happy! 💕𝐌𝐎𝐍𝐀𝟒𝐃🟣 bikin hari ini lebih asik!,@Sviệthữu kontennya selalu bikin happy   mona4d  bikin hari ini lebih asik,1
@zhenghongifeanyi-x5m,,"А𝐸𝑅O88, beneran gacir",@zhenghongifeanyi-x5m aero88  beneran gacir,1
@naufalzulfikar5220,,Damn. Straight to the point banget. Kaget wkwkwk😂🤣,@naufalzulfikar5220 damn  straight to the point banget  kaget wkwkwk,0
@paksu1453,lvb0_bGZDTU,"Saran aja nih buat kristo, kalo mau belajar jadi sutradara, sebaiknya belajar sama pandji pragiwaksono aja.",@paksu1453 saran aja nih buat kristo  kalo mau belajar jadi sutradara  sebaiknya belajar sama pandji pragiwaksono aja,0
,,Judol kont,judol kont,0
,,Idung wendy kek gitu tuh hasil oplas bukan sih?, idung wendy kek gitu tuh hasil oplas bukan sih,0
@MlopezAkhter-i3b,,emang boleh se enak ini main di ambil4d  ..?? member baru langsung di kasih WD..,@MlopezAkhter-i3b emang boleh se enak ini main di ambil4d       member baru langsung di kasih wd,1
,,"𝐀𝐆𝐔S𝙏O𝘛𝙊 gua maen santai, saldo lngsung naik gede", agustoto gua maen santai  saldo lngsung naik gede,1
@SimposyaLpenn-g5w,,"Happy banget main di 𝘿ЕWАDO𝙍𝐀, jakpotnya besar terus! 🙂 🙃",@SimposyaLpenn-g5w happy banget main di dewadora  jakpotnya besar terus,1
@eciiisalsaa,,"xxgang emang selucu seriweh dan seabsurd ituu, makannya ngehibur bangETTTT🙌😭",@eciiisalsaa xxgang emang selucu seriweh dan seabsurd ituu  makannya ngehibur bangetttt,0
@tehjavana7887,,komen² judol kipakkkkkk gausah spam gabakal ada yang depo,@tehjavana7887 komen2 judol kipakkkkkk gausah spam gabakal ada yang depo,0
@khali_jibran,lvb0_bGZDTU,.,@khali_jibran,0
@Mkearnshandsome-t1w,,ambil4d gua weedey geede lngsng plg,@Mkearnshandsome-t1w ambil4d gua weedey geede lngsng plg,1
,,Thankss, thankss,0
,,Oh emak gak enakan juga ya orang nya wkwk,oh emak gak enakan juga ya orang nya wkwk,0
@DucTrungDang-y9u,lvb0_bGZDTU,"👉 𝙿𝚛𝚘𝚋𝚎𝚝𝟾𝟻𝟻 👈 luar biasa, tiap menit bikin penasaran! ⏳",@DucTrungDang-y9u probet855   luar biasa  tiap menit bikin penasaran,1
,,АGU𝘚𝙏𝐎𝘛𝐎 menyediakan ruang untuk kompetisi yang sehat., agustoto menyediakan ruang untuk kompetisi yang sehat,1
@yassiew33,,&quot;jangan nyasar dijalan&quot; 😜🤙,@yassiew33 jangan nyasar dijalan,0
,,"Kalo nggak coba, nggak bakal tahu! Rezeki bisa datang kapan aja di АGU𝐒𝑇𝘖T𝙊!",kalo nggak coba  nggak bakal tahu  rezeki bisa datang kapan aja di agustoto,1
,,damn, damn,0
,,"𝐀GUS𝐓O𝘛𝘖 cuma coba sekali, lgnsung hoki melulu", agustoto cuma coba sekali  lgnsung hoki melulu,1
,,"Jantung dag dig dug nunggu JP di 𝐀GUS𝐓O𝘛𝘖,akhirnya pecah juga jackpotnya!", jantung dag dig dug nunggu jp di agustoto akhirnya pecah juga jackpotnya,1
@sobatsanskuy5555,,@Yb,@sobatsanskuy5555 yb,0
@thủykGhánh,atYGhviVhf8,Musiknya enak di telinga! 💕𝐌𝐎𝐍𝐀𝟒𝐃🟣 bikin aku pengen dengerin nonstop!,@thủykGhánh musiknya enak di telinga   mona4d  bikin aku pengen dengerin nonstop,1
,,"Keren banget! Menang banyak di 𝘼𝐺𝑈𝑆𝑇𝑂𝙏𝘖,auto liburan mewah!",keren banget  menang banyak di agustoto auto liburan mewah,1
,,"Jakpot besar bikin aku makin percaya sama keberuntungan, cuma di 𝘈𝙂𝙐𝘚TO𝙏𝙊!",jakpot besar bikin aku makin percaya sama keberuntungan  cuma di agustoto,1
,,"Penguasa pantai selatan itu adalah ratu kidul seorang laki laki bernama sanghyang baruna yg berwujud Naga Hijau,,nyi loro kidul atau bunda ratu kidul adalah anak angkat sanghyang baruna yg mempunyai istana didasar laut..anak sanghyang baruna adalah Nyi blorong berwujud setengah ular dan Dewi Lanjar..", penguasa pantai selatan itu adalah ratu kidul seorang laki laki bernama sanghyang baruna yg berwujud naga hijau  nyi loro kidul atau bunda ratu kidul adalah anak angkat sanghyang baruna yg mempunyai istana didasar laut  anak sanghyang baruna adalah nyi blorong berwujud setengah ular dan dewi lanjar,0
@HADRIANByz,,El klaim😂,@HADRIANByz el klaim,0
@nurulfatimah3244,,Bang maen warnet simulator,@nurulfatimah3244 bang maen warnet simulator,0
,,Dengan 𝘽𝙊𝙒𝙊77 tiap hari bisa jadi hari keberuntunganmu—coba sekarang dan buktikan sendiri!🫠😂, dengan bowo77 tiap hari bisa jadi hari keberuntunganmu coba sekarang dan buktikan sendiri,1
,,ngomel auto di pites wkwkwk,ngomel auto di pites wkwkwk,0
@WolfgangUlric,,Wujudkan impianmu dengan baca berita Wartawan bongkar hubungan TNI dan judol malah jadi korban 77,@WolfgangUlric wujudkan impianmu dengan baca berita wartawan bongkar hubungan tni dan judol malah jadi korban 77,0
,,𝘼𝙂𝙐𝐒𝑇𝘖𝘛O bener-bener gacor,agustoto bener-bener gacor,1
@hige9.458,,"<a href=""https://www.youtube.com/watch?v=3WvTEDfQWxY&amp;t=143"">2:23</a> halooow bang. let me explain ya itu<br>sebenernya itu pas kami berdua lagi muterin lagu papaya dari babymetal, nah pas bagian rapnya emang udah habbit anak anak sama koordinatornya buat gimmick kayak gitu si, bener kayak kata lu bang, emang vibing penonton sama lagunya. hahaha 😁😁",@hige9.458 halooow bang  let me explain ya itusebenernya itu pas kami berdua lagi muterin lagu papaya dari babymetal  nah pas bagian rapnya emang udah habbit anak anak sama koordinatornya buat gimmick kayak gitu si  bener kayak kata lu bang  emang vibing penonton sama lagunya  hahaha,0
,,"jepey trs ga ada putusnya, di 𝐀𝙂𝐔𝐒𝙏𝑂𝘛𝙊", jepey trs ga ada putusnya  di agustoto,1
@HandballEranda-k6s,,"Main sebentar aja langsung dapet rezeki besar, keren banget AE𝐑О88!",@HandballEranda-k6s main sebentar aja langsung dapet rezeki besar  keren banget aero88,1
,,"Rezeki hari ini datang dari 𝐀𝐆𝐔S𝙏O𝘛𝙊,makasih atas keberuntungannya!", rezeki hari ini datang dari agustoto makasih atas keberuntungannya,1
@alfingembel3006,,arkkk nyaaaaa bang upii etaaa ku kakangg😮,@alfingembel3006 arkkk nyaaaaa bang upii etaaa ku kakangg,0
,,"𝐀𝙂U𝘚𝐓𝑂T𝑂 aku cuma cba2, eh malah dapet jackpot gede", agustoto aku cuma cba2  eh malah dapet jackpot gede,1
,,Apaan sih 😂 terus terang ini reaction terbaik dari semua reaction karna dia belom nikah jadi loss nggak mikir nanti anaknya kalo tau bapaknya suka BERKATA KOTOR 😂,apaan sih   terus terang ini reaction terbaik dari semua reaction karna dia belom nikah jadi loss nggak mikir nanti anaknya kalo tau bapaknya suka berkata kotor,0
,,Minimal maksimal tanggal 14 Vale nanti pada yang kehilangan the virginity nih bosss.😂, minimal maksimal tanggal 14 vale nanti pada yang kehilangan the virginity nih bosss,0
,,"Malam ini dapet jakpot, jangan sampai cuma jadi penonton! Main di 𝘋𝑂𝐑𝘼𝟽𝟩 aja!", malam ini dapet jakpot  jangan sampai cuma jadi penonton  main di dora77 aja,1
,,Lucu bgt dan original 😂😂😂😂,lucu bgt dan original,0
,,"Jakpot besar banget di 𝐃𝙀W𝐀𝘋𝘖ЯА, recommended banget buat yang cari hiburan! 🤕 🤢", jakpot besar banget di dewadoяa  recommended banget buat yang cari hiburan,1
,,"АGU𝐒𝑇𝘖T𝙊 gacir bgt, pecah terus",agustoto gacir bgt  pecah terus,1
@MocinKrempeng,,bangsattttttt anjirrrrr haaaaaa😂😂😂,@MocinKrempeng bangsattttttt anjirrrrr haaaaaa,0
,,Dr tirta bang yang segenerasi sama bang arap 🫢🗿,dr tirta bang yang segenerasi sama bang arap,0
,,hebat dua dua, hebat dua dua,0
@ZacksStyle,,OKE 🎉❤,@ZacksStyle oke,0
,,"Iseng-iseng main 𝐴𝐸RO𝟴𝟪,malah jadi hobi, cuan terus!",iseng-iseng main aero88 malah jadi hobi  cuan terus,1
@unkn0wn2-j,QhmebdBeXKY,Timothy ketar ketir sih 😂😂 lagi,@unkn0wn2-j timothy ketar ketir sih    lagi,0
@sss.hartzel,lvb0_bGZDTU,Curb your Enthusiasm mentioned ‼,@sss.hartzel curb your enthusiasm mentioned,0
@HuuPhongNguyen-o2n,lvb0_bGZDTU,"Hiburan pas lagi jenuh, plus bonus dari👑𝐒𝐆𝐈𝟖𝟖👑",@HuuPhongNguyen-o2n hiburan pas lagi jenuh  plus bonus dari sgi88,1
@QuangHungHuynh-l5w,lvb0_bGZDTU,Setiap detik di 𝙋𝙧𝙤𝙗𝙚𝙩8️⃣5️⃣5️⃣ bikin penasaran terus! 😎,@QuangHungHuynh-l5w setiap detik di probet8  5  5   bikin penasaran terus,1
,,ini live kapan ya?,ini live kapan ya,0
,,"Gokil sih, SORJP88! Baru beberapa putaran, udah dapet jackpot gede!",gokil sih  sorjp88  baru beberapa putaran  udah dapet jackpot gede,1
,,Korban yuka jot nambah lagi nih ga cuma YB ada aloy 😂,korban yuka jot nambah lagi nih ga cuma yb ada aloy,1
@iwamaKrappen-k6v,,"𝐀𝙂U𝘚𝐓𝑂T𝑂 aku bru main bentar, saldo lngsg nambah",@iwamaKrappen-k6v agustoto aku bru main bentar  saldo lngsg nambah,1
@MlarssonEnlet-f3w,,paling suka main di ling ini bang sering wd walaupun dikit dikit bang ambil4d,@MlarssonEnlet-f3w paling suka main di ling ini bang sering wd walaupun dikit dikit bang ambil4d,1
